INFO: [SIM 2] *************** CSIM start ***************
WARNING: [SIM 51] HLS only supports CLANG compiler in Linux.
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../../skip_list_prefetch.cpp in debug mode
Old_val: 90-->Val: 100-->next_val_1: 101-->next_val_2: 100  
Old_val: 91-->Val: 101-->next_val_1: 102-->next_val_2: 101  
Old_val: 92-->Val: 102-->next_val_1: 103-->next_val_2: 102  
Old_val: 93-->Val: 103-->next_val_1: 104-->next_val_2: 103  
Old_val: 94-->Val: 104-->next_val_1: 105-->next_val_2: 104  
Old_val: 95-->Val: 105-->next_val_1: 106-->next_val_2: 105  
Old_val: 96-->Val: 106-->next_val_1: 107-->next_val_2: 106  
Old_val: 97-->Val: 107-->next_val_1: 108-->next_val_2: 107  
Old_val: 98-->Val: 108-->next_val_1: 109-->next_val_2: 108  
Old_val: 99-->Val: 109-->next_val_1: 110-->next_val_2: 109  
Old_val: 100-->Val: 110-->next_val_1: 110-->next_val_2: 110  
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
